country,2011,2012,2013,2014,2015,2016
TUV,0,1,1,0,0,1
TWN,27,63,48,68,20,6
TZA,2,5,3,2,2,1
UGA,0,3,1,11,5,0
UKR,11,33,97,189,100,18
URY,1,5,23,38,16,4
USA,735,1987,4029,7792,2876,791
UZB,0,4,4,4,2,1
VCT,0,0,1,2,0,1
VEN,21,16,82,171,71,23
VGB,1,3,2,1,0,0
VIR,1,0,5,7,4,1
VNM,5,14,31,23,19,5
VUT,0,1,0,0,1,1
WLF,0,0,2,1,1,2
YEM,0,1,0,1,0,0
ZAF,11,37,93,91,57,8
ZMB,1,1,1,1,1,1
ZWE,0,2,6,1,4,4
